customer_id,gender,senior_citizen,partner,tenure_months,contract,internet_service,online_security,tech_support,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST00000,Male,0,Yes,10,Month-to-month,Fiber optic,Yes,Yes,Yes,Bank transfer,107.02,989.22,No
CUST00001,Male,0,Yes,12,Two year,DSL,Yes,Yes,Yes,Electronic check,64.94,738.32,Yes
CUST00002,Male,0,No,38,One year,DSL,No,Yes,No,Mailed check,44.55,1537.37,No
CUST00003,Female,0,No,8,One year,Fiber optic,No,No,No,Credit card,68.08,497.86,No
CUST00004,Female,0,Yes,40,Month-to-month,Fiber optic,No,No internet service,Yes,Electronic check,51.24,2035.08,Yes
CUST00005,Female,0,Yes,1,Month-to-month,No,No,No internet service,No,Electronic check,49.58,47.32,Yes
CUST00006,Female,0,Yes,29,Month-to-month,DSL,No,No,Yes,Bank transfer,75.83,2066.05,Yes
CUST00007,Female,0,No,37,Two year,Fiber optic,No,No internet service,No,Bank transfer,24.91,891.39,No
CUST00008,Female,0,No,4,One year,Fiber optic,No,No,No,Electronic check,28.9,110.52,No
CUST00009,Male,1,Yes,11,One year,Fiber optic,No,No,Yes,Bank transfer,65.48,669.05,No
CUST00010,Male,1,Yes,3,Month-to-month,No,No internet service,Yes,No,Bank transfer,64.44,178.37,Yes
CUST00011,Female,0,No,24,Two year,Fiber optic,Yes,No,Yes,Credit card,73.59,1693.79,No
CUST00012,Male,0,No,15,Two year,No,Yes,Yes,No,Electronic check,111.88,1541.97,No
CUST00013,Male,0,No,20,Month-to-month,DSL,Yes,No,Yes,Bank transfer,67.61,1235.8,No
CUST00014,Male,0,No,4,Month-to-month,Fiber optic,No,No internet service,Yes,Electronic check,79.95,298.0,Yes
CUST00015,Female,0,Yes,4,Month-to-month,DSL,Yes,Yes,No,Bank transfer,40.61,160.19,No
CUST00016,Female,0,Yes,0,Month-to-month,DSL,No,Yes,No,Bank transfer,84.2,0.0,No
CUST00017,Female,0,No,7,Month-to-month,DSL,No internet service,Yes,Yes,Mailed check,51.84,356.83,No
CUST00018,Male,0,No,16,Month-to-month,DSL,Yes,No,Yes,Credit card,66.79,1028.14,No
CUST00019,Female,0,No,39,Month-to-month,DSL,No,Yes,Yes,Electronic check,62.28,2195.83,No
CUST00020,Male,1,No,21,One year,DSL,No,No,No,Mailed check,90.82,1831.32,No
CUST00021,Male,0,No,11,Month-to-month,DSL,Yes,No,Yes,Electronic check,32.25,334.39,Yes
